Status,zpid,Address,City,Zip,Beds,Baths,Square,Zestimate,Sale,Longitude,Latitude,Days,Views,Saves,LastSoldDate,LastSoldPrice,Feature,Date
status,15642035,200 Elm St APT 106,San Mateo,CA 94401,2 beds,2 baths,1284 sqft,971608,898888,-122.330731,37.569356,7,1147,15,N/A,N/A,Type:Condo;Year Built:1962;Heating:Forced air;Cooling:None;Parking:No Data;HOA:$300/month;Days on Zillow:7 Days;Price/sqft:$700,2018/4/27
status,2090871113,213 Todd Rd LOT 227,Santa Rosa,CA 95407,6 beds,#NAME?,5660 sqft,,2800000,-122.720168,38.387801,58,N/A,N/A,N/A,N/A,Type:Multi Family;Year Built:1967;Heating:No Data;Cooling:No Data;Parking:No Data;MLS #:21803872;Days on Zillow:58 Days;Price/sqft:$495;Saves:1;Past 12 months:,2018/4/27
status,63084277,2767 Breaker Ln,Hayward,CA 94545,5 beds,5 baths,3712 sqft,1289046,1350000,-122.094046,37.607767,Less than 1,244,5,Jan-16,972149,Type:Single Family;Year Built:2004;Heating:No Data;Cooling:No Data;Parking:2 spaces;Lot:8707 sqft;Days on Zillow:Less than 1 day;Price/sqft:$364;Saves:5;Past 12 months:,2018/4/27
status,15748687,804 Saint Francis Dr,Petaluma,CA 94954,4 beds,2 baths,1400 sqft,(4/6),975000,-122.617367,38.239011,33,N/A,20,Mar-96,166500,Type:Single Family;Year Built:1966;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:6098 sqft;Days on Zillow:33 Days;Price/sqft:$696;Saves:20;Past 12 months:,2018/4/27
status,15827164,745 Camellia Ct,Santa Rosa,CA 95407,3 beds,1 bath,960 sqft,(4/11),480000,-122.728882,38.416838,45,N/A,17,Nov-15,365000,Type:Single Family;Year Built:1958;Heating:No Data;Cooling:Central;Parking:Attached Garage;Lot:5662 sqft;Days on Zillow:45 Days;Price/sqft:$500;Saves:17;Past 12 months:,2018/4/27
status,15782305,2996 Park Meadow Dr,Santa Rosa,CA 95407,4 beds,3 baths,2204 sqft,642030,700000,-122.746492,38.411954,47,N/A,13,Mar-09,284000,Type:Single Family;Year Built:2002;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:5662 sqft;Days on Zillow:47 Days;Price/sqft:$318;Saves:13;Past 12 months:,2018/4/27
status,2091792394,50 Jerrold Ave. Unit #413 Plan The San Francisco Shipyard Engel,San Francisco,CA 94124,2 beds,2 baths,1156 sqft,868696,839000,-122.368,37.7276,9,584,34,N/A,N/A,Type:Condo;Year Built:2018;Heating:;Cooling:;Parking:1 space;HOA:;Days on Zillow:9 Days;Price/sqft:$726,2018/4/27
status,2091617061,555 Innes Ave. #413 Plan The San Francisco Shipyard Engel,San Francisco,CA 94124,2 beds,2 baths,1156 sqft,870329,850000,-122.368,37.7276,4,92,10,N/A,N/A,Type:Condo;Year Built:2018;Heating:;Cooling:;Parking:No Data;HOA:;Days on Zillow:4 Days;Price/sqft:$735,2018/4/27
status,80753905,12 Acacia Rd,Fairfax,CA 94930,3 beds,2 baths,1653 sqft,1110145,1200000,-122.595627,37.991125,10,1675,89,May-96,365000,Type:Single Family;Year Built:1918;Heating:;Cooling:;Parking:5 spaces;Lot:8712 sqft;Days on Zillow:10 Days;Price/sqft:$726,2018/4/27
status,15093308,579 39th Ave,San Francisco,CA 94121,3 beds,3 baths,2444 sqft,,2180000,-122.499952,37.77788,2,208,14,Sep-12,618000,Type:Condo;Year Built:2018;Heating:;Cooling:;Parking:1 space;HOA:$338/month;Days on Zillow:2 Days;Price/sqft:$892,2018/4/27
status,24991747,27750 Seminole Way,Hayward,CA 94544,4 beds,2 baths,1256 sqft,607912,569800,-122.079613,37.627891,Less than 1,255,7,Jun-11,187000,Type:Single Family;Year Built:1954;Heating:;Cooling:;Parking:No Data;Lot:5000 sqft;Days on Zillow:Less than 1 day;Price/sqft:$454,2018/4/27
status,19783298,14175 Eton Ave,San Jose,CA 95127,4 beds,2 baths,1719 sqft,853384,768000,-121.81846,37.359735,2,556,35,Mar-09,5000,Type:Single Family;Year Built:1953;Heating:Forced air;Cooling:Other;Parking:2 spaces;Lot:7074 sqft;Days on Zillow:2 Days;Price/sqft:$447,2018/4/27
status,19263492,325 Melrose Ave,Mill Valley,CA 94941,3 beds,3 baths,2000 sqft,1410175,1450000,-122.544426,37.893551,2,598,30,N/A,N/A,Type:Single Family;Year Built:1935;Heating:;Cooling:;Parking:No Data;Lot:8015 sqft;Days on Zillow:2 Days;Price/sqft:$725,2018/4/27
status,19286073,14 Arrowhead Ln,Novato,CA 94949,3 beds,2 baths,1849 sqft,763319,739000,-122.570351,38.074185,5,767,12,Mar-05,610000,Type:Condo;Year Built:1974;Heating:;Cooling:;Parking:No Data;HOA:$475/month;Days on Zillow:5 Days;Price/sqft:$400,2018/4/27
